Timestamp,Station,Passengers,Dwell_Time
2025-05-28 11:00:00,KASARVADAVALI,16,65.2
2025-05-28 11:05:00,MANDAPA,15,36.0
2025-05-28 11:10:00,VIJAYGARDEN ,14,31.8
2025-05-28 11:15:00,VIJAYGARDEN ,16,33.2
2025-05-28 11:20:00,GOWNIWADA,22,49.4
2025-05-28 11:25:00,KASARVADAVALI,27,53.4
2025-05-28 11:30:00,KASARVADAVALI,22,41.4
2025-05-28 11:35:00,GOWNIWADA,28,43.6
2025-05-28 11:40:00,TIKU JI NA WADI ,25,47.0
2025-05-28 11:45:00,DONGARI PADA,22,41.4
2025-05-28 11:50:00,MANDAPA,17,39.4
2025-05-28 11:55:00,VIJAYGARDEN ,21,43.2
2025-05-28 12:00:00,GAIMUKH,19,72.8
2025-05-28 12:05:00,GAIMUKH,17,39.4
2025-05-28 12:10:00,GAIMUKH,12,38.4
2025-05-28 12:15:00,CADBUARY,23,44.599999999999994
2025-05-28 12:20:00,VIJAYGARDEN ,24,38.8
2025-05-28 12:25:00,GOWNIWADA,13,26.6
2025-05-28 12:30:00,GOWNIWADA,23,45.599999999999994
2025-05-28 12:35:00,MANDAPA,18,57.599999999999994
2025-05-28 12:40:00,MAJIWADA,19,43.8
2025-05-28 12:45:00,CADBUARY,16,39.2
2025-05-28 12:50:00,KASARVADAVALI,18,35.599999999999994
2025-05-28 12:55:00,CADBUARY,20,43.0
2025-05-28 13:00:00,TIKU JI NA WADI ,16,30.2
2025-05-28 13:05:00,KASARVADAVALI,26,47.2
2025-05-28 13:10:00,DONGARI PADA,15,64.0
2025-05-28 13:15:00,KAPURBAWDI,21,46.2
2025-05-28 13:20:00,GOWNIWADA,16,38.2
2025-05-28 13:25:00,MANDAPA,26,49.2
2025-05-28 13:30:00,KAPURBAWDI,13,39.6
2025-05-28 13:35:00,KAPURBAWDI,16,36.2
2025-05-28 13:40:00,MANDAPA,15,31.0
2025-05-28 13:45:00,MAJIWADA,22,45.4
2025-05-28 13:50:00,GAIMUKH,28,56.6
2025-05-28 13:55:00,KASARVADAVALI,17,41.4
2025-05-28 14:00:00,MANDAPA,18,39.599999999999994
2025-05-28 14:05:00,MAJIWADA,19,36.8
2025-05-28 14:10:00,DONGARI PADA,16,31.2
2025-05-28 14:15:00,VIJAYGARDEN ,20,47.0
2025-05-28 14:20:00,GAIMUKH,16,35.2
2025-05-28 14:25:00,KAPURBAWDI,19,38.8
2025-05-28 14:30:00,GAIMUKH,15,31.0
2025-05-28 14:35:00,TIKU JI NA WADI ,11,35.2
2025-05-28 14:40:00,GAIMUKH,11,31.2
2025-05-28 14:45:00,MANDAPA,14,34.8
2025-05-28 14:50:00,KASARVADAVALI,15,41.0
2025-05-28 14:55:00,GOWNIWADA,21,41.2
2025-05-28 15:00:00,MANDAPA,18,31.599999999999998
2025-05-28 15:05:00,VIJAYGARDEN ,17,38.4
2025-05-28 15:10:00,KAPURBAWDI,17,34.4
2025-05-28 15:15:00,KAPURBAWDI,21,43.2
2025-05-28 15:20:00,DONGARI PADA,13,38.6
2025-05-28 15:25:00,TIKU JI NA WADI ,19,44.8
2025-05-28 15:30:00,DONGARI PADA,16,29.2
2025-05-28 15:35:00,VIJAYGARDEN ,13,35.6
2025-05-28 15:40:00,TIKU JI NA WADI ,10,28.0
2025-05-28 15:45:00,VIJAYGARDEN ,24,40.8
2025-05-28 15:50:00,CADBUARY,22,40.4
2025-05-28 15:55:00,CADBUARY,15,59.0
2025-05-28 16:00:00,TIKU JI NA WADI ,23,44.599999999999994
2025-05-28 16:05:00,MANDAPA,14,37.8
2025-05-28 16:10:00,GAIMUKH,20,44.0
2025-05-28 16:15:00,GAIMUKH,12,29.4
2025-05-28 16:20:00,CADBUARY,29,74.8
2025-05-28 16:25:00,MAJIWADA,19,33.8
2025-05-28 16:30:00,VIJAYGARDEN ,24,50.8
2025-05-28 16:35:00,MAJIWADA,32,87.4
2025-05-28 16:40:00,KASARVADAVALI,26,69.2
2025-05-28 16:45:00,KAPURBAWDI,7,28.4
2025-05-28 16:50:00,TIKU JI NA WADI ,23,47.599999999999994
2025-05-28 16:55:00,CADBUARY,21,48.2
2025-05-28 17:00:00,VIJAYGARDEN ,42,64.4
2025-05-28 17:05:00,CADBUARY,62,85.39999999999999
2025-05-28 17:10:00,GOWNIWADA,43,63.6
2025-05-28 17:15:00,CADBUARY,44,71.8
2025-05-28 17:20:00,KAPURBAWDI,48,77.6
2025-05-28 17:25:00,GAIMUKH,44,70.8
2025-05-28 17:30:00,TIKU JI NA WADI ,51,75.19999999999999
2025-05-28 17:35:00,KAPURBAWDI,45,95.0
2025-05-28 17:40:00,KAPURBAWDI,56,82.2
2025-05-28 17:45:00,GAIMUKH,44,67.8
2025-05-28 17:50:00,GOWNIWADA,53,74.6
2025-05-28 17:55:00,KAPURBAWDI,46,68.19999999999999
2025-05-28 18:00:00,VIJAYGARDEN ,51,84.19999999999999
2025-05-28 18:05:00,DONGARI PADA,41,66.19999999999999
2025-05-28 18:10:00,VIJAYGARDEN ,47,81.4
2025-05-28 18:15:00,TIKU JI NA WADI ,41,72.19999999999999
2025-05-28 18:20:00,VIJAYGARDEN ,44,62.8
2025-05-28 18:25:00,VIJAYGARDEN ,54,84.8
2025-05-28 18:30:00,TIKU JI NA WADI ,46,72.19999999999999
2025-05-28 18:35:00,MANDAPA,45,77.0
2025-05-28 18:40:00,GOWNIWADA,48,72.6
2025-05-28 18:45:00,TIKU JI NA WADI ,58,80.6
2025-05-28 18:50:00,KASARVADAVALI,62,94.39999999999999
2025-05-28 18:55:00,VIJAYGARDEN ,59,85.8
2025-05-28 19:00:00,VIJAYGARDEN ,12,24.4
2025-05-28 19:05:00,DONGARI PADA,15,29.0
2025-05-28 19:10:00,VIJAYGARDEN ,14,40.8
2025-05-28 19:15:00,CADBUARY,23,41.599999999999994
2025-05-28 19:20:00,MAJIWADA,23,39.599999999999994
2025-05-28 19:25:00,MAJIWADA,20,37.0
2025-05-28 19:30:00,MAJIWADA,18,37.599999999999994
2025-05-28 19:35:00,CADBUARY,16,33.2
2025-05-28 19:40:00,VIJAYGARDEN ,20,41.0
2025-05-28 19:45:00,CADBUARY,18,42.599999999999994
2025-05-28 19:50:00,KASARVADAVALI,22,42.4
2025-05-28 19:55:00,MANDAPA,20,43.0
2025-05-28 20:00:00,MANDAPA,15,28.0
2025-05-28 20:05:00,KASARVADAVALI,25,53.0
2025-05-28 20:10:00,DONGARI PADA,22,44.4
2025-05-28 20:15:00,GAIMUKH,18,33.599999999999994
2025-05-28 20:20:00,MAJIWADA,21,41.2
2025-05-28 20:25:00,VIJAYGARDEN ,17,38.4
2025-05-28 20:30:00,KAPURBAWDI,22,36.4
2025-05-28 20:35:00,TIKU JI NA WADI ,14,28.8
2025-05-28 20:40:00,VIJAYGARDEN ,26,47.2
2025-05-28 20:45:00,DONGARI PADA,16,35.2
2025-05-28 20:50:00,CADBUARY,22,43.4
2025-05-28 20:55:00,MAJIWADA,20,35.0
2025-05-28 21:00:00,TIKU JI NA WADI ,24,46.8
2025-05-28 21:05:00,KAPURBAWDI,20,34.0
2025-05-28 21:10:00,CADBUARY,20,36.0
2025-05-28 21:15:00,MAJIWADA,15,28.0
2025-05-28 21:20:00,KASARVADAVALI,22,40.4
2025-05-28 21:25:00,TIKU JI NA WADI ,25,61.0
2025-05-28 21:30:00,GAIMUKH,26,45.2
2025-05-28 21:35:00,GAIMUKH,16,38.2
2025-05-28 21:40:00,CADBUARY,23,39.599999999999994
2025-05-28 21:45:00,DONGARI PADA,13,26.6
2025-05-28 21:50:00,MANDAPA,27,54.4
2025-05-28 21:55:00,DONGARI PADA,25,54.0
2025-05-28 22:00:00,TIKU JI NA WADI ,29,58.8
2025-05-28 22:05:00,GAIMUKH,21,45.2
2025-05-28 22:10:00,GOWNIWADA,19,41.8
2025-05-28 22:15:00,VIJAYGARDEN ,26,60.2
2025-05-28 22:20:00,CADBUARY,25,47.0
2025-05-28 22:25:00,GAIMUKH,19,37.8
2025-05-28 22:30:00,KAPURBAWDI,23,40.599999999999994
2025-05-28 22:35:00,KAPURBAWDI,27,54.4
2025-05-28 22:40:00,VIJAYGARDEN ,27,52.4
2025-05-28 22:45:00,MANDAPA,18,39.599999999999994
2025-05-28 22:50:00,GOWNIWADA,17,57.4
2025-05-28 22:55:00,DONGARI PADA,20,41.0
2025-05-28 23:00:00,MAJIWADA,33,60.6
